,,0.05,0.1,0.2,0.4,0.6,0.8
AD,000 000 012 0,,0.002,0.005,0.016,0.023,0.041
AF,000 000 021 0,0.013,0.038,0.073,0.118,0.147,0.164
AM,000 001 002 0,0.0025,0.0045,0.0115,0.0245,0.04,0.053
AN,000 002 001 0,0.0025,0.0045,0.0115,0.0245,0.04,0.053
AA,000 000 001 2,0.919,0.828,0.694,0.552,0.463,0.402
AL,000 000 210 0,0.062,0.12,0.196,0.236,0.243,0.228
